name,brand,model,year,listing_type,rental_price_daily,rental_price_weekly,rental_price_monthly,fuel_type,availability_status,featured,short_description
"Professional Snow Blower","Honda","HS1336i","2024","rental",150,600,1800,"gasoline","available",true,"Heavy-duty two-stage snow blower for commercial properties. Features heated grips, LED lights, and e"
"CAT 299D3 Skid Steer","Caterpillar","299D3","2023","rental",450,1800,5400,"diesel","available",true,"Compact track loader with snow attachments. Ideal for snow removal, landscaping, and construction."
"Commercial Zero-Turn Mower","Exmark","Lazer Z X-Series","2024","rental",120,450,1350,"gasoline","available",true,"60" deck commercial-grade zero-turn mower. Professional landscaping equipment."
"Professional String Trimmer","Stihl","FS 131 R","2024","rental",45,180,540,"gasoline","available",true,"Professional-grade gas string trimmer for heavy-duty use."
"Commercial Leaf Blower","Stihl","BR 800 X MAGNUM","2024","rental",80,300,900,"gasoline","available",true,"Professional-grade backpack leaf blower. Most powerful in its class."
"Bobcat E35 Mini Excavator","Bobcat","E35","2023","rental",500,2000,6000,"diesel","available",true,"33.5 HP compact excavator for landscaping and utility work."
"Professional Chainsaw","Stihl","MS 462 C-M","2024","rental",90,350,1050,"gasoline","available",false,"20" professional chainsaw for tree work and firewood cutting."
"Core Aerator","Ryan","Lawnaire V Plus","2024","rental",130,500,1500,"gasoline","available",false,"Walk-behind core aerator for lawn restoration and maintenance."
"Plate Compactor","Wacker Neuson","BPU 3050","2024","rental",110,420,1260,"gasoline","available",false,"Reversible plate compactor for soil and asphalt compaction."
"Wood Chipper","Bandit","SG-40","2023","rental",350,1400,4200,"diesel","available",false,"Stump grinder for tree removal and land clearing."
"Dethatcher","Bluebird","PR22","2024","rental",85,320,960,"gasoline","available",false,"Power rake dethatcher for lawn renovation."
"Concrete Mixer","Kushlan","350DD","2024","rental",75,280,840,"gasoline","available",false,"Portable concrete mixer for small to medium projects."
"Pressure Washer","Simpson","PowerShot 4200","2024","rental",95,360,1080,"gasoline","available",false,"Commercial-grade pressure washer for heavy cleaning."
"Sod Cutter","Ryan","Pro Sod Cutter","2024","rental",140,540,1620,"gasoline","available",false,"18" sod cutter for lawn removal and landscaping."
"Stump Grinder","Vermeer","SC252","2023","rental",425,1700,5100,"gasoline","available",false,"Self-propelled stump grinder for tree stump removal."
